,meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id,artist_id,aw_art_valid
103,Meilleur documentaire,,2012,septembre,,,Festival du court métrage de Lille,,Short Film Festival,,Lille,France,Manque de preuves,Kwon,Hayoun,396,Festival du court métrage de Lille,,Festival du court métrage de Lille,1531,200,253,
104,Meilleur film,Compétition nationale,2015,mai-juin,,,Festival du court métrage indépendant,,Short Film Festival,,Vienne,Autriche,"Of stains, scrap & tires",Brameshuber,Sebastian,5,Festival du court métrage indépendant,,Festival du court métrage indépendant,1533,65,9,
65,Mention spéciale du jury (photographie),,2016,fevrier,,,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Isabella Morra,Pagliai,Isabel,574,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1463,58,544,
64,Grand Prix,Labo,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Retour,Huang,Pang-Chuan,764,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1462,58,667,
62,Prix Festival Connexion Auvergne Rhône-Alpes,,2018,,02/02/20,02/11/20,Clermont-Ferrand,,Short Film Festival,,Clermont-Ferrand,France,Ondes noires,Joffroy Chandoutis,Ismaël,770,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1462,58,671,
63,Grand prix du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Last year when the train passed by,Huang,Pang-Chuan,838,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1461,58,667,
61,Prix special du jury,Labo,2019,,02/01/20,02/09/20,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1461,58,671,
66,Jameson short award,,2003,,,,Clermont-Ferrand,,Film Festival,,Clermont-Ferrand,France,Chamonix,Mréjan,Valérie,,Clermont-Ferrand,,Festival international du court-métrage de Clermont-Ferrand,1464,58,,
105,Lenzing Award (bronze),,2014,mai,,,Festival of nations,,Film Festival,,Lenzing,Autriche,Killing a pig without Mao,Huang,Zhenqian,504,Festival of nations,,Festival of nations,1535,276,21,
106,Mention spéciale,,2008,,,,Festival Vidéo d'Orléans,,Film Festival,,Orléans,France,Under Construction,Liu,Zhenchen,212,Festival Vidéo d'Orléans,,Festival Vidéo d'Orléans,1537,277,160,
107,Prix Marcel Duchamp,,2008,,,,FIAC,,Gala,,Paris,France,,Grasso,Laurent,,FIAC,,FIAC,1539,18,,
109,Prix du jury,,2015,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Chaque fois qu'on se dit au revoir,Liang,Chao,586,FIDEC,,FIDEC,1542,278,541,
108,Prix de l'innovation,,2016,novembre-décembre,,,FIDEC,,Film Festival,,Tétouan,Maroc,Ciudad Maya,Padilla Domene,Andrès,680,FIDEC,,FIDEC,1541,278,572,
110,Mention spéciale,,2009,,,,Film Essay Award,,Prix annuel,Université autonome de Barcelone,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212,Film Essay Award,,Film Essay Award,1544,48,160,
111,Mention honorable,,2018,,09/27/20,10/06/20,Filmfest Hamburg,,Film Festival,,Hambourg,Allemagne,Una Luna de hierro,Rodriguez,Francisco,785,Filmfest Hamburg,,Filmfest Hamburg,1546,279,678,
112,Prix du jury,multimédia,2019,,07/10/20,01/19/20,FLIP,,Multimedia festival,,Parthenay,France,Plague,Jibert,Damien,841,FLIP,,FLIP,1548,280,670,
114,Prix talent d'argent,,2011,,,,Fondation Schneider,,Prix annuel,Fondation Schneider,Wattwiller,France,Le cours des cours,Rigaux,Bertrand,135,Fondation Schneider,,Fondation Schneider,1551,281,163,
113,Prix Talents contemporains,,2016,,,,Fondation Schneider,,Fondation,,,France,Focus on infinity,Lavenne,Mathilde,584,Fondation Schneider,,Fondation Schneider,1550,264,539,
115,3ème prix Forward thinking museum,,2011,,,,Forward thinking museum,,Prix annuel,,,,Concrete mirrors,de Beyter,David,356,Forward thinking museum,,Forward thinking museum,1553,,220,
116,Premier Prix,,2008,,,,Four Film Festival,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212,Four Film Festival,,Four Film Festival,1555,282,160,
117,Mention spéciale du jury,,2014,aout,,,Fresh Film Fest,,Film Festival,,Prague,République-Tchèque,Gli immacolati,Trocker,Ronny,522,Fresh Film Fest,,Fresh Film Fest,1557,213,309,
118,Young jury award,,2019,,11/05/20,11/10/20,Front Doc.,,International Documentary Film Festival,,Aoste,Italie,Swatted,Joffroy Chandoutis,Ismaël,842,Front Doc.,,Front Doc.,1559,283,671,
119,Best short documentary,,2019,,07/19/20,07/28/20,GIFF,,International Film Festival,,Guanajuto,Mexique,Swatted,Joffroy Chandoutis,Ismaël,842,GIFF,Giff,Giff,1560,284,671,
120,Prix Seccio Creacio,,2008,septembre,,,Girona,,Film Festival,,Gérone,Espagne,Naufrage,Durand,Clorinde,254,Girona,,Girona,1562,285,197,
121,Prix spécial du ministère,,2016,,,,GISFF,,Film Festival,,Téhéran,Iran,Focus on infinity,Lavenne,Mathilde,584,GISFF,,GISFF,1564,286,539,
122,Honorary distinction for best sound design,,2019,,09/15/20,09/21/20,Greek Short,,Film Festival,,Drama,Grèce,Sable noir,Trouboukis,Thanasis,861,Greek Short,,Greek Short,1566,145,899,
123,Best documentary,,2018,décembre,,,GZDOC,,International Documentary Film Festival,,Guangzhou,Chine,Ondes noires,Joffroy Chandoutis,Ismaël,770,GZDOC,,GZDOC,1568,287,671,
124,Prix du jury,,2015,novembre,,,Hiroshima,,Film Festival,,Hiroshima,Japon,"Archipels, granites dénudées",Hérétakis,Daphné,12,Hiroshima,,Hiroshima,1570,172,,
125,Meilleur court-métrage latino-américain,,2018,,06/07/20,06/15/20,Huesca,,Short Film Festival,,Huesca,Espagne,Una Luna de hierro,Rodriguez,Francisco,785,Huesca,Huesca,Huesca,1571,131,678,
126,Meilleur court-métrage,,2017,fevrier-mars,,,IBAFF,,Film Festival,,Murcia,Espagne,Le Park,Maroufi,Randa,16,IBAFF,,IBAFF,1573,288,28,False
127,Barcelona vidéodance,,2011,octobre,,,IDN,,Multimedia festival,,Barcelone,Espagne,Continuum,Le Roy,Manon,290,IDN,,IDN,1575,48,229,
128,Single-screen media gold award,,2007,,,,IFVA,,Film Festival,,Hong-Kong,Chine,Métier à tisser musical,Ng,Kingsley,98,IFVA,,IFVA,1577,69,,
129,Best short documentary,,2019,,05/02/20,05/12/20,IndieLisboa,,Film Festival,,Lisbonne,Portugal,Swatted,Joffroy Chandoutis,Ismaël,842,IndieLisboa,,IndieLisboa,1579,289,671,
130,Onda Curta Award,,2006,,,,IndieLisboa,,Film Festival,,Lisbonne,Portugal,La Plaine,Edzard,Roland,,IndieLisboa,,IndieLisboa,1580,289,,
131,1 er prix,art-vidéo,2006,,,,Ingenio 400,,Concours,,Madrid,Espagne,Ligne Verte,Mareshal,Laurent,72,Ingenio 400,,Ingenio 400,1582,78,328,
132,Christian-Berger prize,documentaire,2006,,,,Innsbrück,,Film Festival,,Innsbrück,Autriche,True Love,Edkins,Teboho,96,Innsbrück,,Innsbrück,1584,290,126,False
133,Golden olive award,,2008,,,,International Bunker,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212,International Bunker,,International Bunker,1586,282,160,
135,Best picture award,,2007,,,,International student film festival,,Film Festival,,Belgrade,Serbie,Under Construction,Liu,Zhenchen,212,International student film festival,,International student film festival,1589,253,160,
134,Best documentary,,2008,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,Under Construction,Liu,Zhenchen,212,International student film festival,,International student film festival,1588,291,160,
136,Best director award,,2006,,,,International student film festival,,Film Festival,,Tel-Aviv,Israël,La Plaine,Edzard,Roland,,International student film festival,,International student film festival,1590,291,,
139,Under 35 award,,2009,septembre,,,Invideo,,Film Festival,,Milan,Italie,Naufrage,Durand,Clorinde,254,Invideo,,Invideo,1594,127,197,
138,Premio Under 35,,2014,septembre,,,Invideo,,Film Festival,,Milan,Italie,Une vie radieuse,Hardt,Meryll,500,Invideo,,Invideo,1593,127,18,
137,Premio Under 35,,2015,septembre,,,Invideo,,Film Festival,,Milan,Italie,Céos I Phoébé,Rodes,David,564,Invideo,,Invideo,1592,127,41,
140,K3 jury award,,2011,décembre,,,K3,,Film Festival,,Vienne,Autriche,Phone Tapping,Won Lee,Hee,286,K3,,K3,1596,65,227,
142,"Second, prix de Taïwan",,2018,,10/19/20,10/04/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Retour,Huang,Pang-Chuan,764,Kaohsiung,,Kaohsiung,1599,115,667,
141,Mention spéciale du jury,short film,2019,,10/10/20,10/27/20,Kaohsiung,,Film Festival,,Kaohsiung,Taïwan,Swatted,Joffroy Chandoutis,Ismaël,842,Kaohsiung,,Kaohsiung,1598,115,671,
143,Mention spéciale du jury,,2019,,04/17/20,04/21/20,Kiev,,Short Film Festival,,Kiev,Ukraine,Omarska,Sasindran,Varun,855,Kiev,,Kiev,1601,292,679,
144,Best animation,,2014,,,,Kurzundschön,,Short Film Festival,,,Allemagne,Gli immacolati,Trocker,Ronny,522,Kurzundschön,,Kurzundschön,1603,274,309,
154,Prix de l'innovation,,2008,,,,L'Acharnière,,Film Festival,,Lille,France,Under Construction,Liu,Zhenchen,212,L'Acharnière,,L'Acharnière,1611,200,160,
152,Prix de l'institut des sciences et techniques de Valenciennes,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250,L'Acharnière,,L'Acharnière,1610,200,192,
153,Prix jeunes taletns,,2009,juin,,,L'Acharnière,,Film Festival,,Lille,France,Faire le mur,Bak,Bertille,250,L'Acharnière,,L'Acharnière,1610,200,192,
150,Grand Prix,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284,L'Acharnière,,L'Acharnière,1609,200,224,
151,Prix CER des cheminots,,2010,juin,,,L'Acharnière,,Film Festival,,Lille,France,Plastic and Glass,Joosse,Tessa,284,L'Acharnière,,L'Acharnière,1609,200,224,
149,CER des cheminots du Nord-pas -de-Calais,,2011,juin,,,L'Acharnière,,Film Festival,,Lille,France,Toujours moins,Moullet,Luc,375,L'Acharnière,,L'Acharnière,1608,200,92,
147,Prix de la mise en scène,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Reinsende auf einem bein,Petru Badelita,Alexandru,569,L'Acharnière,,L'Acharnière,1607,200,529,
148,Prix de l'innovation,,2016,juin,,,L'Acharnière,,Film Festival,,Lille,France,Cuisine américaine,Pluvinage,Justine,570,L'Acharnière,,L'Acharnière,1607,200,38,
146,Prix de l'innovation,,2017,juin,,,L'Acharnière,,Film Festival,,Lille,France,"I made you, I kill you",Petru Badelita,Alexandru,658,L'Acharnière,,L'Acharnière,1606,200,529,
145,Meilleur montage,,2019,,06/06/20,06/09/20,L'Acharnière,,Film Festival,,Lille,France,Last year when the train passed by,Huang,Pang-Chuan,838,L'Acharnière,,L'Acharnière,1605,200,667,
156,Meilleur montage,,2003,,,,L'Acharnière,,Film Festival,,Lille,France,Courant d'air,Martirosyan,Nora,,L'Acharnière,,L'Acharnière,1613,200,,
155,Prix de l'INA,,2005,,,,L'Acharnière,,Film Festival,,Lille,France,Japon : un pays lointain,Yabuki,Takako,,L'Acharnière,,L'Acharnière,1612,200,,
157,Mention spéciale,,2007,,,,L'Alternativa,,Film Festival,,Barcelone,Espagne,Under Construction,Liu,Zhenchen,212,L'Alternativa,,L'Alternativa,1615,48,160,
158,Prix du Jury,,2016,septembre,,,La Nuit de l'Instant,,Multimedia festival,,Marseille,France,Le Park,Maroufi,Randa,16,La Nuit de l'Instant,,La Nuit de l'Instant,1617,42,28,False
159,Coup de cœur du jury,,2010,novembre,,,Le Réel en vue,,Film Festival,,Thionville,France,Plastic and Glass,Joosse,Tessa,284,Le Réel en vue,,Le Réel en vue,1619,293,224,
160,Meilleur film,,2009,septembre,,,Lebanese,,Film Festival,,Beyrouth,Liban,Un instant mon glamour,Abu Shaqra,Shirin,277,Lebanese,,Lebanese,1621,294,215,
161,Mention spéciale du jury,,2008,,,,Les écrans documentaires,,Film Festival,,Arcueil,France,Under Construction,Liu,Zhenchen,212,Les écrans documentaires,,Les écrans documentaires,1623,171,160,
162,Prix du jury presse,,2014,octobre,,,Les Enfants terribles,,Film Festival,,Huy,Belgique,Tehran-Geles,Nassiri,Arash,29,Les Enfants terribles,,Les Enfants terribles,1625,295,34,
163,Best short film,,2019,,11/13/20,11/24/20,LIFF,,Film Festival,,Llubjana,Slovénie,Last year when the train passed by,Huang,Pang-Chuan,838,LIFF,,LIFF,1627,296,667,
164,Best international short film,,2018,,01/11/20,01/20/20,London Short,,Short Film Festival,,Londres,Royaume-Unis,Retour,Huang,Pang-Chuan,764,London Short,,London Short,1629,297,667,
165,Meilleur court-métrage,,2004,,,,Luso-brésilien,,Film Festival,,Santa-Maria da Feira,Portugal,Copan,Spinelli,Bernardo,,Luso-brésilien,,Luso-brésilien,1631,298,,
166,Prix du jury,court-métrage,2007,,,,Lyon Asian,,Film Festival,,Lyon,France,Under Construction,Liu,Zhenchen,212,Lyon Asian,,Lyon Asian,1633,56,160,
168,Prix Transfera video art,,2009,avril,,,Madatac,,Film Festival,,Madrid,Espagne,Coagulate,Grecu,Mihai,224,Madatac,,Madatac,1636,78,176,
167,Best visual-aural interaction,,2011,,,,Madatac,,Film Festival,,Madrid,Espagne,Phone Tapping,Won Lee,Hee,286,Madatac,,Madatac,1635,78,227,
169,Prix OVNI,,2010,,,,Média festival,,Film Festival,,Namur,Belgique,Vous êtes vous déjà fait piquer par une abeille morte,Rubin,Jonathan,231,Média festival,,Média festival,1638,70,211,
170,Second Pirx,,2010,fevrier,,,Médiacity,,Multimedia festival,,Ontario,Canada,Atlantiques,Diop,Mati,282,Médiacity,,Médiacity,1640,299,195,
172,Diploma of merit,,2008,,,,Mediaschool,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253,Mediaschool,,Mediaschool,1643,272,,False
171,Diploma of merit,,2009,,,,Mediaschool,,Prix annuel,,Lodz,Pologne,Plastic and Glass,Joosse,Tessa,284,Mediaschool,,Mediaschool,1642,300,224,
173,RMIT University award,experimental short film,2015,aout,,,Melbourne,,Film Festival,,Melbourne,Australie,Tehran-Geles,Nassiri,Arash,29,Melbourne,,Melbourne,1645,141,34,
174,Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574,Message to man,,Message to man,1647,301,544,
175,Mention spéciale du jury,,2012,octobre,,,Milan,,Film Festival,,Milan,Italie,Fireworks,Abbruzzese,Giacomo,380,Milan,,Milan,1649,127,238,
176,Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Minimalen,,Minimalen,1651,211,671,
177,Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212,MiradasDoc,,MiradasDoc,1653,302,160,
178,Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562,Monde en images,,Monde en images,1655,303,546,False
179,Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Munich,,Munich,1657,163,302,
180,Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212,Naoussa,,Naoussa,1659,153,160,
181,Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212,Non-Budget,,Non-Budget,1661,304,160,
182,"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Norwegian,,Norwegian,1663,132,671,
183,Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto,1665,305,,
184,Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332,Oberhausen,Oberhausen,Oberhausen,1666,117,243,
185,Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524,Olhar de Cinema,,Olhar de Cinema,1668,306,316,
187,Best video,,2008,,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Coagulate,Grecu,Mihai,224,Oslo Screen,,Oslo Screen,1671,307,176,
186,Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256,Oslo Screen,,Oslo Screen,1670,307,189,
188,Mention spéciale,,2008,,,,Ourense,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212,Ourense,,Ourense,1673,248,160,
191,Meilleur court-métrage,,2015,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudées",Hérétakis,Daphné,12,PAFF,,PAFF,1676,308,,
189,Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF,1675,308,15,
190,Meilleure actrice,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF,1675,308,15,
